input ; output
"¿Por que amas a tu mamá?" ; " Amo a mi mamá porque siempre esta ahi, incluso en los momentos mas dificiles. Recuerdo cuando me despertaba en la mañana, sus palabras, 'amor, es hora de levantarse', aunque las ignoraba, me senti segura de su presencia 
"¿Por que amas a tu mamá?" ; "   Amo a mi mamá porque es la persona que siempre está dispuesta a escucharme, incluso cuando la distancia nos separa. Las llamadas a las 8 p.m. para contarle sobre mi, las conversaciones sobre cualquier cosa, son mi manera de sentir su cercania 
"¿Por que amas a tu mamá?" ; "   Amo a mi mamá porque me enseño a ser fuerte, a seguir adelante cuando las cosas se complican. Aunque a veces me cuesta aceptar que estoy lejos, se que el amor que nos une nunca se rompe 
"¿Por que amas a tu mamá?" ; "   Amo a mi mamá porque ella siempre supo cálmo hacerme sentir especial, incluso cuando las circunstancias eran dificiles. Las veces que me dijo 'te amo' y me abrazá, esas son las memorias que llevo conmigo 
"¿Por que amas a tu mamá?" ; "   Amo a mi mamá porque su amor no conoce limites. A veces siento que no puedo expresar todo lo que me hace sentir, pero ella lo sabe sin que diga una sola palabra. Es como si supiera cuándo estoy triste o feliz 
"¿Por que amas a tu mamá?" ; "   Amo a mi mamá porque me enseño que el amor verdadero no tiene fronteras 
"¿Por que amas a tu mamá?" ; "   Amo a mi mamá porque su alegria y su manera de ser me inspiran cada dia. Cada vez que la veo, me recuerda la importancia de la familia, de reir, de compartir momentos juntos 
"¿Por que amas a tu mamá?" ; "   Amo a mi mamá porque siempre me apoya incondicionalmente, sin importar lo que pase. Incluso cuando cometo errores, ella siempre está ahi para darme un abrazo y enseñarme a mejorar 
"¿Por que amas a tu mamá?" ; "   Amo a mi mamá porque con sus palabras y gestos me hace sentir querida y valorada, incluso cuando las palabras no son suficientes. Su presencia es lo que mas me calma 
"¿Por que amas a tu mamá?" ; "   Amo a mi mamá porque es mi mayor amiga. Aunque haya dias en los que no pueda vernos en persona, siempre sabemos que estamos a un mensaje o llamada de distancia 
"¿Por que amas a tu mamá?" ; "Porque ella es la única que soporta mis karaoke improvisados en el carro."
"¿Por que amas a tu mamá?" ; "Porque siempre me regaña, pero despues me da aguacates. ¡Eso si es amor!"
